H4K16ac_ATXR3	unbound
1.75311784805031	1.3606705143205
1.74985416898252	1.35692033165862
1.74241298070798	1.35329471800123
1.73844434696155	1.34983628906042
1.73053318890125	1.34532885797642
1.72491966090466	1.34130659038365
1.71922780461045	1.3372482633422
1.71301375966539	1.33286212313101
1.70416266203356	1.32802032261387
1.69580764362004	1.32350305713478
1.68455447819432	1.31910380439679
1.67123866759777	1.31498974911649
1.65875835884256	1.30808272562995
1.64862789901617	1.30257874250993
1.6407428503884	1.29705509059972
1.62967245099048	1.29031525182976
1.61463341784614	1.28530298846435
1.60531235042855	1.27894996923469
1.59429416989571	1.27434419419976
1.57891571412832	1.26908607095705
1.56601765445244	1.26410658890862
1.55633105497926	1.25938280113259
1.54633114231558	1.25515401124287
1.53860275028307	1.25143333176626
1.53043049789734	1.24723732319352
1.52251933983703	1.24503441869283
1.51372046107029	1.24394935710097
1.50750641612523	1.2441689919247
1.50283282770016	1.24510653759018
1.49808091097747	1.24820437204427
1.49437337155647	1.25389848680275
1.50126626174763	1.2603990219588
1.50058741650153	1.27220357420133
1.5108223140581	1.28567013921446
1.52580912833736	1.30260824569521
1.5431980104105	1.3239816643626
1.57176172961174	1.34990185169437
1.60852381063125	1.38304704128732
1.64638248781753	1.41854592943904
1.69236119852446	1.46004707672881
1.74826149359744	1.50309878031146
1.81512775033818	1.55123486615687
1.88687647096432	1.60433404339222
1.97029610793686	1.66192753918478
2.05658778248904	1.72011109868288
2.14969401893475	1.78175636525349
2.24614226274587	1.84861386122306
2.35632406807423	1.9169202914029
2.46123176802904	1.98284024170699
2.56976867910723	2.05207438315721
2.68005492216576	2.12138719976816
2.79483198762155	2.1898247552159
2.90496157408482	2.25605612803125
3.02610934108092	2.32506080026264
3.14775318729533	2.39470798630674
3.26947536180736	2.46476493881302
3.38440908385841	2.5301866130991
3.5005438398064	2.59079926818501
3.60897631315442	2.64921557503363
3.71576389225228	2.70402265888336
3.81526693967085	2.7566235601007
3.90479618385827	2.80295011724911
3.99265442436299	2.84440209256341
4.07163545780334	2.88826349467534
4.15688275505383	2.92848289247139
4.23596822622434	2.96725007792548
4.30894409017997	3.00483057970509
4.37878682223053	3.03874613024694
4.43915183026824	3.06843616903078
4.49711477051207	3.09255338392894
4.5496469487871	3.11485451386672
4.59821049331571	3.13481505777251
4.63147391037456	3.15257597530931
4.65165650172973	3.16285291818083
4.67484167782726	3.17075321557169
4.6961208653492	3.17373631541638
4.71604236237895	3.17290366996522
4.72317023746299	3.17081222194225
4.73416230856328	3.163793741978
4.73784373855174	3.15100902835793
4.73303960296396	3.13602141023717
4.72609449390772	3.11812936743247
4.70834007977898	3.09767710377206
4.68985460153906	3.07362217337615
4.66147364836562	3.04743317924519
4.63087339342608	3.0142060363598
4.59306693510489	2.97953979365923
4.55904634450232	2.94349673564573
4.52510408219737	2.90856824240936
4.48184075247484	2.87395117168426
4.43403438148996	2.83856046187855
4.38570582185423	2.8038679941244
4.3390482659012	2.76669070254358
4.28147696714551	2.7297199332597
4.22756098894573	2.69384733809446
4.17573376534934	2.6547982333144
4.11265337632723	2.61364784611626
4.05542150019459	2.57354318292962
3.99476928839891	2.53364832017161
3.94106218565947	2.49372067609663
3.8818982115187	2.45544848852886
