H3K4me3 WT nuclear genes	cdkc2 nuclear genes	WT ATXR3-marked	cdkc2 ATXR3-marked	WT ATXR3-bound	cdkc2 ATXR3-bound
0.0196835508815035	0.0194802865397921	0.0573157466732187	0.0562003656183094	0.0699597641218865	0.0679497687138999
0.0195559237783351	0.0194121262523788	0.0564114177158912	0.0555851928543475	0.0691827529807041	0.0677687600143393
0.0193294471017956	0.0191952509324717	0.0551883316292889	0.0547476870982358	0.0685182760716533	0.066786752780489
0.0190208151413493	0.0188278823862558	0.0543288717287767	0.0533496384016236	0.0671650735420099	0.0653705828241283
0.018579632437226	0.0183646866147657	0.0528278535523816	0.0516520104534154	0.0655981599281683	0.0634977389054136
0.0179811193145398	0.0177097201601849	0.0511596629351697	0.0496800326928749	0.0631187268157599	0.0611717716615638
0.0172002537196008	0.0169061977868792	0.0488775903628213	0.047428741534946	0.0603950822703224	0.0583530377904373
0.0162459275000921	0.0159587784312055	0.0458642387034497	0.0447242722455525	0.0564833338589721	0.0544757978448864
0.0152019023948835	0.0149072174081667	0.0428510535341611	0.0415352647782985	0.0524884604343848	0.0509707037741638
0.0139943833656546	0.013763997714063	0.0391684293982485	0.0385437669725809	0.0484074397344561	0.0471837887950577
0.0127173593436479	0.0125074943141785	0.0357014009976509	0.0351514858052188	0.0438155048335154	0.0426946547840015
0.0114575152129924	0.0112660945388853	0.0330785100591071	0.0321406329434285	0.039752535303292	0.0387517754903023
0.0102837596835372	0.0101176373707646	0.0315478586818168	0.0305717561058588	0.0356437353635787	0.0354465961766551
0.00935062480856351	0.00916285706447798	0.0311576330990437	0.0296885376528663	0.0329800695050114	0.0324446648686621
0.00871703179640323	0.0085850669220972	0.0312953484140213	0.0298999367535023	0.0310882066176147	0.0306571817265806
0.00855373992840086	0.00841511407375828	0.0325460697527149	0.0309779634705709	0.0304535669987498	0.0300559016969669
0.00879249128788965	0.00864266729189564	0.0343543683953646	0.0328628741855649	0.0310376700353179	0.030570422490456
