H1_ATXR7	unbound
1.51773581230186	1.62605166652039
1.51473562746659	1.63044327686137
1.51573953546916	1.63517886995723
1.51475870581147	1.63896851047716
1.51201238276995	1.64282519848321
1.50978532248839	1.64799222757672
1.50660051089402	1.65058667377883
1.50421190219825	1.65299892572517
1.50353109102409	1.65401338334127
1.50193868522691	1.65419412004299
1.49856924687345	1.65354259338437
1.49259195554779	1.65239258324198
1.4861530973244	1.65220747387812
1.47904496709929	1.65067849968373
1.4759870864018	1.64890757151769
1.46810583162299	1.64602307206041
1.46520949933971	1.64282957114535
1.45978608829134	1.63785639673996
1.45348570013726	1.63282346261869
1.44739301708717	1.6264408334507
1.44018103431008	1.61837618691349
1.43368448022447	1.61025906843061
1.42297612819704	1.60082140598195
1.41372171189747	1.59214458674536
1.40390187614817	1.58346339484663
1.39322814163807	1.57485653820426
1.38390449030384	1.56572204699718
1.37306920737953	1.554972585907
1.36420712294304	1.54286759955393
1.35132940649626	1.53007610524512
1.34052874108928	1.51760381527242
1.32654326408793	1.50343055972789
1.31271933550079	1.49011434596249
1.30001470664066	1.47685351925083
1.28886786606038	1.46361455584987
1.27485931071415	1.45060588598819
1.26025071840086	1.43720221898002
1.25167711327545	1.42431306855012
1.23914557200197	1.41148805049826
1.22930265790779	1.39873007993252
1.21847891415592	1.38544447480208
1.20943220296034	1.37216032722569
1.2009855287318	1.35954519695647
1.19381970264448	1.34863394736717
1.18745007945575	1.3373539366042
1.17953420715961	1.32617449707041
1.17363769004105	1.31670914109487
1.17094906286175	1.30680651890549
1.16811042644069	1.2974315312808
1.16400248105085	1.28921092646065
1.16389862849886	1.28165496628553
1.16406017691307	1.27448380037859
1.16084074780137	1.26754875822713
1.1608753653187	1.26084109450685
1.16077151276671	1.25595828845233
1.1631370431176	1.25062364064351
1.16178695994173	1.24634280441004
1.16296395553095	1.24300063298227
1.16354091415312	1.23916143562478
1.16688727416169	1.23744735206653
1.1697374497552	1.23569537210309
1.1734646024544	1.23433984684019
1.17539164425244	1.23265782947096
1.17763024370645	1.23128918622165
1.17970729474626	1.22982580195934
1.18196897254515	1.22836679035917
1.18408064110229	1.22755784786357
1.18741546193842	1.22780271694331
1.18914633780492	1.22874283930307
1.19068104773989	1.22817585077912
1.19406202526579	1.22863206519556
1.19871231176046	1.22907807673368
1.20120477300822	1.22919759616546
1.20265870873609	1.2303869602671
1.20607430377932	1.23143494162626
1.20939758544301	1.23185180208345
1.20988223068563	1.23242607837763
1.21060919854956	1.23444624828556
1.21277856296891	1.23593003830451
1.2163441672539	1.23773011755148
1.21684035166897	1.23902879820658
1.22010593747044	1.24045574361774
1.2218252741645	1.24085365587233
1.225898602037	1.24174130628642
1.22765255624839	1.24319157256231
1.22884109101006	1.24421040284056
1.23226822522573	1.24622182742421
1.23515301833657	1.24803939731973
1.23964175641704	1.24898680744971
1.24194959090571	1.24998231686322
1.24313812566737	1.25172700905643
1.24890771188905	1.25250680047111
1.25146940817147	1.25281725948293
1.25461960224851	1.25436955454205
1.25718129853093	1.25510707688939
1.26135847895543	1.25649904100344
1.26402402778984	1.25698294894676
1.26726653524642	1.25822332744001
1.26719730021176	1.2588486181258
1.27107446215273	1.26038633764446
1.2737284718147	1.26153489023281
