ID	ATX1-TAG-rep2	ATX2-TAG-rep2	ATX3-TAG-rep2	ATX4-TAG-rep2	ATX5-TAG-rep2	ATXR3-TAG-rep2	ATXR7-TAG-rep2	WT-rep2	
AT1G01620	3.64084	2.29167	5.52886	3.80246	3.16374	12.9551	4.99005	4.64177	
AT1G01630	2.17505	3.58884	4.13641	2.47389	0.306169	3.49114	3.91461	3.42858	
AT1G01640	2.3169	3.58884	4.87359	2.97783	0.204112	3.36495	4.17271	3.32309	
AT1G01650	2.83702	4.41038	3.44018	2.19902	2.95963	2.6499	4.34478	2.1099	
AT1G01660	5.24848	6.74529	4.87359	4.03153	1.88804	3.23877	4.3878	3.58682	
AT1G01670	5.2012	4.92925	3.1535	5.49754	2.44935	5.17361	4.21573	3.32309	
AT1G01680	1.93863	3.45912	4.38213	3.02365	1.73496	3.15464	3.18331	1.84616	
AT1G01690	1.46579	3.63208	3.48113	2.70296	1.32673	2.52371	2.32295	3.1121	
AT1G01695	4.01911	4.5401	5.61077	3.61921	2.24524	2.77609	3.26934	1.58242	
AT1G01700	3.168	4.66982	2.98968	2.10739	3.67402	2.39753	2.71011	1.37143	
AT1G01710	2.6006	7.00472	9.46049	4.26059	4.18431	3.99588	4.08668	4.48353	
AT1G01715	1.13481	3.19969	3.76782	4.76453	4.79664	2.73402	5.72135	1.89891	
AT1G01720	2.08048	5.57784	6.14318	6.32217	5.97029	5.08949	4.12969	2.47913	
AT1G01725	2.08048	6.05347	6.51177	6.4138	5.81721	5.46805	3.74254	2.42638	
AT1G01730	2.3169	5.79403	2.703	3.52759	5.35795	4.12207	3.18331	2.42638	
AT1G01740	2.50603	5.79403	2.53918	2.61133	5.66412	4.87918	3.05425	2.63737	
AT1G01750	2.8843	3.80504	2.17059	2.79458	1.32673	4.08001	3.35538	2.0044	
AT1G01760	2.97887	4.28066	2.21154	3.2069	1.37776	4.45856	3.35538	2.26814	
AT1G01770	1.93863	4.97249	4.17736	4.12315	2.65346	5.08949	3.18331	1.47693	
AT1G01780	2.50603	7.0912	8.51854	5.7266	3.01066	3.11258	5.50626	3.85056	
AT1G01790	2.6006	6.83177	5.48791	4.07734	6.48057	3.11258	5.97945	3.37583	
AT1G01800	6.47786	5.36164	8.1909	3.71084	3.82711	4.87918	2.9252	2.53188	
AT1G01810	2.8843	6.52909	7.49468	3.2069	2.39832	3.74351	5.93644	2.53188	
AT1G01820	4.01911	6.48586	5.61077	3.48177	3.98019	3.78557	6.19454	3.16484	
AT1G01830	5.62675	5.62107	6.96227	1.74089	2.39832	3.15464	3.05425	3.1121	
AT1G01840	7.56538	5.96699	7.49468	5.40591	3.77608	3.95382	5.33419	3.27034	
AT1G01860	5.4849	6.44262	9.70622	5.90985	3.87814	4.79506	4.51685	3.85056	
AT1G01880	3.49899	7.8695	8.55949	3.5734	5.46001	3.02846	2.83917	3.53408	
AT1G01900	5.2012	4.19419	3.97259	3.48177	2.85757	2.73402	3.48443	1.79341	
AT1G01910	4.20824	4.75629	3.39923	2.93202	3.21477	2.77609	3.74254	1.68792	
AT1G01920	4.35009	4.3239	2.90777	1.51182	1.88804	2.39753	5.20514	2.0044	
AT1G01930	5.34305	3.50236	2.98968	1.00788	2.44935	2.56578	5.5923	2.53188	
AT1G01940	5.53218	7.26416	7.00322	4.76453	3.67402	3.36495	4.77496	2.58462	
AT1G01950	6.43057	4.79953	2.21154	2.79458	3.2658	3.32289	4.64591	2.58462	
AT1G01960	7.13983	4.79953	2.2525	2.93202	3.31683	3.40701	4.55987	2.84836	
AT1G01970	2.17505	4.23743	2.82586	3.5734	5.20487	3.32289	3.35538	3.1121	
AT1G01980	2.17505	4.10771	2.90777	3.5734	5.46001	3.23877	3.48443	3.32309	
AT1G01990	3.92454	4.97249	3.1535	2.10739	3.77608	3.49114	4.94703	2.53188	
AT1G02000	5.81589	7.61007	4.99645	1.69507	4.43945	3.57526	3.61348	3.37583	
AT1G02010	2.97887	3.67532	3.604	3.39015	2.29627	3.5332	2.96822	3.32309	
AT1G02020	2.8843	4.28066	3.84972	3.9399	2.50038	3.78557	4.08668	3.69232	
AT1G02030	4.20824	9.0802	6.14318	3.06946	3.31683	3.57526	3.87159	2.90111	
AT1G02040	2.0332	2.24843	2.45727	2.65714	1.47982	2.3134	2.71011	1.21319	
AT1G02050	3.49899	5.83727	5.32409	4.30641	5.20487	3.74351	3.82857	2.53188	
AT1G02060	4.53923	5.66431	3.76782	2.61133	0.663365	3.61732	4.12969	5.27474	
AT1G02065	4.35009	3.11321	1.76104	5.22266	2.44935	2.56578	5.03307	2.47913	
AT1G02070	1.46579	1.90252	4.21832	2.29064	2.9086	2.48165	2.66709	2.63737	
AT1G02080	2.41146	6.65881	6.34795	3.39015	1.6329	5.51011	7.48507	3.32309	
AT1G02090	2.74245	7.69655	6.88036	4.53547	3.16374	5.93073	7.91525	3.0066	
AT1G02100	3.02615	7.91274	10.5253	4.26059	5.00076	4.4165	3.6565	2.21539	
AT1G02110	4.35009	8.17218	10.812	6.27636	5.97029	2.9864	4.55987	4.37803	
AT1G02120	3.82997	4.49686	5.65172	2.61133	4.28636	5.17361	7.57111	2.79561	
AT1G02130	4.01911	4.71305	5.65172	2.65714	4.23533	5.17361	7.65714	2.74286	
AT1G02140	4.01911	5.3184	5.28313	5.26847	3.77608	5.34186	6.02247	2.53188	
AT1G02145	6.76156	8.864	9.37858	4.26059	3.11271	5.00537	4.04366	2.84836	
AT1G02150	6.95069	7.35064	11.1396	5.17685	2.65346	5.00537	3.31236	3.95606	
AT1G02160	5.57947	7.8695	12.3683	5.13104	4.13328	6.56166	5.03307	3.42858	
AT1G02170	4.20824	6.83177	5.44695	3.48177	3.52094	5.88867	5.07608	3.21759	
AT1G02180	4.72836	6.96148	5.07836	3.5734	3.11271	5.55217	5.1191	3.16484	
AT1G02190	3.26257	3.97799	3.76782	1.69507	2.70449	2.48165	3.57047	2.58462	
AT1G02205	2.12776	3.41588	3.11254	3.34434	3.52094	3.91176	4.51685	1.89891	
AT1G02220	4.39738	2.29167	3.11254	4.90197	1.73496	2.9864	4.34478	2.74286	
AT1G02228	3.54627	2.50786	2.08868	3.29852	3.623	2.94433	3.14029	4.27254	
AT1G02230	3.26257	2.63758	3.52209	2.24483	1.93907	2.35547	2.58106	2.53188	
AT1G02250	1.13481	3.11321	2.78491	3.89409	1.83701	3.91176	3.35538	2.05715	
AT1G02260	2.45875	5.01573	3.93163	2.97783	2.50038	2.81815	3.48443	2.37363	
AT1G02270	1.51308	4.49686	3.93163	2.1532	2.95963	5.08949	4.17271	2.0044	
AT1G02280	5.4849	5.01573	4.17736	5.58916	2.09215	3.74351	3.61348	4.32529	
AT1G02290	4.58651	7.91274	11.7949	3.52759	4.94973	4.79506	2.45201	2.32089	
AT1G02300	3.02615	4.79953	3.03063	4.9936	2.85757	2.22928	4.3878	1.84616	
AT1G02305	2.6006	4.92925	2.00677	4.12315	5.86823	3.8697	5.5923	1.95165	
AT1G02310	3.07344	5.3184	1.63818	4.07734	5.56206	3.74351	5.63531	2.1099	
AT1G02330	5.67404	5.10221	6.02031	3.80246	3.77608	5.72042	5.33419	3.58682	
AT1G02335	1.37123	4.3239	9.91099	2.61133	3.46991	3.07052	2.32295	2.26814	
AT1G02340	1.46579	3.28617	2.53918	3.16108	1.17365	3.8697	2.53804	2.42638	
AT1G02350	4.20824	5.40488	6.3889	3.66503	4.33739	7.65527	2.71011	3.48133	
AT1G02360	0.378269	2.37815	4.25927	4.07734	3.06169	2.14516	1.76372	2.21539	
AT1G02370	3.26257	4.19419	4.25927	1.46601	3.87814	1.89279	2.75313	3.37583	
AT1G02380	1.46579	2.46463	3.27636	1.60345	3.46991	4.08001	3.74254	2.47913	
AT1G02390	2.64788	2.59434	2.62109	3.61921	5.30692	2.1031	3.09727	2.1099	
AT1G02400	2.55332	3.15645	1.802	3.16108	2.55141	3.65939	3.82857	2.42638	
AT1G02405	3.68812	4.15095	1.22864	4.12315	2.24524	3.15464	2.75313	2.74286	
AT1G02410	5.15392	7.82627	4.70977	2.93202	3.01066	2.14516	2.75313	2.84836	
AT1G02420	4.16096	4.62658	3.44018	2.93202	1.93907	3.65939	3.91461	4.43078	
AT1G02430	3.92454	5.40488	3.52209	3.16108	3.16374	3.99588	4.17271	4.58902	
AT1G02440	4.6338	4.71305	5.56981	5.68079	2.60243	3.70145	4.25875	1.95165	
AT1G02450	2.69517	2.81054	4.46404	3.66503	2.19421	1.89279	4.25875	2.42638	
AT1G02460	1.51308	1.12421	1.18768	1.60345	1.9901	2.1031	1.89278	1.95165	
AT1G02470	1.18209	1.72956	1.39245	2.19902	1.83701	1.85072	2.36597	1.79341	
AT1G02475	4.25553	4.5401	2.66204	3.43596	3.87814	4.58475	6.49567	2.26814	
AT1G02500	3.49899	5.66431	4.66882	4.07734	2.34729	3.23877	2.79615	3.53408	
AT1G02510	3.49899	5.70755	4.62786	4.07734	2.19421	3.23877	2.79615	3.53408	
AT1G02520	1.32394	1.72956	1.47436	3.16108	2.65346	2.22928	2.45201	3.05935	
AT1G02530	3.07344	2.94025	3.07159	4.67291	3.87814	3.95382	4.73194	3.79781	
AT1G02540	4.58651	3.97799	3.11254	4.6271	3.31683	3.57526	5.72135	5.011	
AT1G02550	2.74245	2.59434	3.03063	4.44384	2.44935	2.77609	4.30177	2.42638	
AT1G02560	2.55332	3.41588	3.07159	3.61921	6.99085	4.16413	3.74254	1.95165	
AT1G02570	2.55332	2.37815	1.59723	2.1532	3.77608	1.64041	2.79615	2.16264	
AT1G02575	1.18209	2.42139	2.66204	4.58128	1.6329	3.70145	3.61348	2.42638	
AT1G02580	1.70221	2.68082	2.12963	2.70296	0.408225	2.39753	3.18331	2.37363	
AT1G02590	1.93863	7.22092	3.27636	3.98572	4.94973	3.5332	3.6565	4.37803	
AT1G02610	3.30985	3.28617	4.66882	2.93202	4.8987	6.43547	8.00128	2.69012	
AT1G02620	2.36418	4.06447	6.10222	2.33645	4.13328	2.9864	3.82857	2.21539	
AT1G02630	2.74245	2.20519	1.3515	2.24483	3.41888	1.59835	1.97881	2.0044	
AT1G02640	1.98591	2.11871	3.93163	3.61921	1.73496	2.81815	2.23692	3.48133	
AT1G02650	3.35714	2.81054	4.30022	3.29852	1.73496	2.60784	2.96822	2.26814	
AT1G02660	2.8843	3.67532	2.49823	1.00788	2.24524	2.22928	3.52745	1.68792	
AT1G02670	4.82293	6.65881	6.63463	4.9936	2.60243	4.33238	4.25875	3.74507	
AT1G02680	2.41146	3.67532	3.64495	3.52759	2.04112	3.28083	3.44141	2.47913	
AT1G02681	2.55332	1.21069	3.68591	3.39015	5.46001	3.19671	3.52745	3.21759	
