ID	ATX1-TAG-rep2	ATX2-TAG-rep2	ATX3-TAG-rep2	ATX4-TAG-rep2	ATX5-TAG-rep2	ATXR3-TAG-rep2	ATXR7-TAG-rep2	WT-rep2	
AT1G01620	3.02615	4.23743	4.13641	3.9399	5.05178	7.9497	2.9252	3.16484	
AT1G01630	3.78269	5.5346	5.8565	4.35222	4.59253	3.40701	2.9252	2.05715	
AT1G01640	2.6006	3.84827	5.406	2.93202	2.80655	2.9864	3.09727	2.42638	
AT1G01650	5.2012	4.06447	9.21477	5.54335	1.47982	5.76248	4.17271	4.80001	
AT1G01660	6.57242	5.23192	3.23541	5.22266	2.04112	5.51011	4.77496	4.27254	
AT1G01670	3.82997	5.01573	6.02031	5.54335	3.77608	3.74351	3.18331	2.90111	
AT1G01680	3.97182	3.24293	2.78491	3.2069	3.46991	3.49114	3.09727	2.74286	
AT1G01690	5.43762	10.5936	15.5218	4.85616	2.60243	3.44908	4.47384	3.90331	
AT1G01695	2.12776	3.67532	2.86682	2.79458	4.08225	2.73402	2.96822	3.1121	
AT1G01700	1.89135	3.80504	4.42309	4.48966	3.52094	3.57526	3.78555	3.32309	
AT1G01710	3.68812	6.57233	19.5353	2.74877	2.70449	2.73402	3.57047	3.27034	
AT1G01715	2.83702	8.17218	11.4673	4.48966	4.74561	3.99588	4.25875	5.1165	
AT1G01720	1.22937	3.41588	4.09545	4.94778	5.15384	2.27134	4.25875	2.74286	
AT1G01725	5.86317	9.29639	12.9416	11.3616	15.9718	5.67836	5.37721	5.27474	
AT1G01730	3.64084	7.61007	11.7949	9.07094	9.49123	4.24825	3.44141	3.53408	
AT1G01740	6.66699	8.69105	8.72331	4.26059	9.18506	4.20619	4.55987	4.80001	
AT1G01750	4.6338	5.83727	5.69268	4.94778	2.39832	4.66887	5.89342	2.90111	
AT1G01760	5.57947	10.1612	14.8255	5.86404	9.03198	6.64578	3.69952	1.95165	
AT1G01770	5.4849	9.03696	15.0303	6.00148	9.18506	6.47753	4.08668	3.1121	
AT1G01780	3.07344	5.88051	4.21832	5.58916	4.28636	4.79506	3.87159	2.32089	
AT1G01790	5.81589	7.35064	10.8939	4.39803	3.623	3.49114	4.3878	4.74727	
AT1G01800	2.26961	6.83177	7.41277	3.48177	7.34805	5.55217	3.87159	4.58902	
AT1G01810	7.32896	6.05347	11.8359	4.39803	6.12337	5.88867	4.34478	2.58462	
AT1G01820	5.57947	4.92925	8.06804	3.61921	2.55141	3.36495	2.45201	4.27254	
AT1G01830	4.11368	6.65881	5.65172	4.12315	4.94973	3.57526	3.95762	2.84836	
AT1G01840	3.92454	6.91825	11.0168	5.03941	6.83777	4.66887	5.16212	5.27474	
AT1G01860	5.34305	9.72878	18.8391	6.23054	5.15384	4.37444	3.26934	2.79561	
AT1G01880	4.35009	6.39938	8.60045	6.4138	7.04188	5.21568	4.30177	4.80001	
AT1G01900	2.41146	4.84277	5.20122	3.98572	5.51104	4.4165	3.95762	3.27034	
AT1G01910	4.72836	8.38837	17.0371	5.77242	6.78674	5.67836	5.37721	3.27034	
AT1G01920	1.32394	6.57233	13.1054	4.21478	3.57197	3.8697	5.76437	4.58902	
AT1G01930	5.24848	7.73979	25.8833	4.94778	5.71515	5.34186	4.21573	2.0044	
AT1G01940	5.43762	8.99372	21.5421	5.58916	6.58263	5.51011	4.51685	1.84616	
AT1G01950	7.09254	6.35614	11.5901	4.85616	4.38842	5.67836	3.87159	4.69452	
AT1G01960	5.95774	7.56683	10.4434	5.13104	6.68468	6.77197	4.25875	4.43078	
AT1G01970	4.72836	10.3774	9.25572	5.77242	3.92916	5.72042	4.25875	3.53408	
AT1G01980	4.11368	6.39938	7.00322	3.11527	5.66412	4.12207	5.20514	2.26814	
AT1G01990	3.73541	7.13444	12.3273	5.40591	4.28636	4.83712	2.75313	3.69232	
AT1G02000	4.06639	4.28066	3.72686	4.6271	2.9086	3.57526	3.01124	2.63737	
AT1G02010	5.4849	8.0857	5.65172	2.01576	4.64356	3.61732	3.57047	3.53408	
AT1G02020	3.87726	9.33963	6.96227	3.34434	3.77608	4.12207	4.64591	3.16484	
AT1G02030	3.92454	4.06447	6.7575	2.51971	4.38842	3.23877	2.75313	2.47913	
AT1G02040	3.168	5.96699	6.34795	4.12315	4.33739	4.03794	5.54928	2.79561	
AT1G02050	4.72836	6.35614	3.84972	4.35222	1.12262	3.28083	4.21573	3.69232	
AT1G02060	4.77565	6.44262	12.6959	7.37586	5.15384	3.78557	2.9252	2.63737	
AT1G02065	2.50603	3.50236	3.44018	4.03153	3.41888	2.35547	4.94703	3.16484	
AT1G02070	4.53923	4.79953	5.52886	7.5133	2.85757	3.49114	4.47384	3.95606	
AT1G02080	3.73541	7.61007	10.9349	5.22266	5.56206	5.59423	3.39839	3.63957	
AT1G02090	2.26961	10.8098	17.2009	4.03153	5.05178	5.6363	3.35538	2.1099	
AT1G02100	3.54627	9.38287	14.7846	4.03153	3.82711	5.42599	3.61348	2.21539	
AT1G02110	4.96478	8.12894	12.3273	5.13104	3.77608	5.08949	4.55987	1.58242	
AT1G02120	4.01911	9.12344	17.5285	5.81823	5.51104	4.62681	4.21573	3.63957	
AT1G02130	4.87021	11.934	12.573	3.2069	5.35795	4.753	4.64591	3.1121	
AT1G02140	2.50603	8.99372	20.5592	5.90985	4.74561	5.00537	2.53804	4.43078	
AT1G02145	6.61971	11.0692	20.2315	5.68079	3.46991	3.57526	2.88218	3.27034	
AT1G02150	8.0855	8.82076	11.8768	4.85616	3.67402	5.80454	4.21573	2.90111	
AT1G02160	7.8018	7.69655	12.9416	6.59705	3.98019	4.92124	2.53804	3.69232	
AT1G02170	7.65995	8.60457	17.3647	4.35222	4.69459	8.24413	4.25875	3.32309	
