WT nuclear genes	atxr3 nuclear genes	WT ATXR3-marked	atxr3 ATXR3-marked	WT ATXR3-bound	r3 ATXR3-bound
0.0434313239216126	0.0321627653061618	0.141888827423498	0.108469784364907	0.308166773380354	0.194115214348087
0.0451552175334193	0.0331365472232818	0.148611162000617	0.126523095432745	0.322047825452935	0.196372167184055
0.0427676721775508	0.030846159607714	0.174550487220623	0.141959603425987	0.326087270738672	0.184446188434913
0.0402684533800953	0.0297183597416968	0.148816411830137	0.134391911874064	0.305360879528718	0.179001655508216
0.0378883368707549	0.0289062366511627	0.136079042803256	0.124270495090106	0.28914639479265	0.178190013818342
0.0317271072120852	0.0255404274409815	0.105253336528892	0.114838653722527	0.228286726452033	0.145071300825653
0.0258137328067168	0.0226858971472585	0.0946861658308626	0.102602130664344	0.171652418423548	0.11857202726317
0.0201896635801644	0.0192596772598553	0.0723149805261069	0.0755551640672445	0.124833785300041	0.0929673213345229
0.0235140043715045	0.0212977739559296	0.0509673973687755	0.049929425516421	0.103157024573105	0.0838981655211051
0.0223514635650332	0.0208534490706634	0.0440366825729311	0.0385390958686328	0.0920468383439467	0.0731205101126499
0.0199290844844822	0.0180711829246562	0.0376844690624864	0.0287468632417501	0.045651734627898	0.0371051618599045
0.0195803522889686	0.0175095664145936	0.0351556619759736	0.0232623727236707	0.0399879570548501	0.0305791215972374
0.019652878283411	0.0176090706175608	0.0253617347018944	0.0180419601593465	0.0291446493056432	0.0245639151205959
0.0191853548389343	0.0194139080383924	0.0185278217194982	0.0138951020621478	0.0222104723409931	0.0206424555602358
0.00592930732703306	0.0123969512572769	0.0129912317343267	0.0106023730496589	0.0176138648435063	0.0166695728547655
0.00505329620144156	0.0121448224712963	0.0129989761105647	0.00984914877778371	0.0159795665586922	0.0129587946571667
0.00498154920350932	0.0137833867235705	0.0165928869422535	0.0111461185036819	0.0184841404110456	0.0128866458528284
0.00472868233445953	0.0133794172710002	0.020842117511033	0.0147665306938658	0.0226838840443512	0.0156475108423449
0.00560217846110866	0.0152229109558101	0.0398686688509088	0.097602345622554	0.0386475395102443	0.0915173314153286
0.00792320241448019	0.0148977470322331	0.0643895740377111	0.120397580523729	0.0642005803373888	0.11869827693172
0.0185836257102885	0.0237149668700704	0.157511970387373	0.203667995460483	0.15823883131176	0.200447657658693
0.0312588666589889	0.0339639721023395	0.267763607720129	0.293284721016282	0.261024534565172	0.284198923326759
0.0490692162671188	0.052257609846744	0.42608193775892	0.454530270228507	0.411088187733578	0.442305858717022
0.0620334100255974	0.0641018247744503	0.539356904324926	0.556417628837001	0.513460316255178	0.536294471594959
0.0817708634768534	0.0794425468111764	0.717186759598975	0.694244399690122	0.673913114703725	0.655193289539433
0.0969708314080418	0.0901464375856015	0.852338644162229	0.788224850630671	0.770827901594089	0.704674585164571
0.115707743751075	0.107656826346298	1.02366196133034	0.948964518882634	0.888990151469468	0.801701830188496
0.131810987264857	0.120513147631519	1.17046484916246	1.06694324083897	1.02792475744114	0.921780930247589
0.145498437113309	0.124627214847076	1.29413211656616	1.10296016978268	1.07533069238511	0.943880861631856
0.154533435964691	0.126263318298341	1.37649717689962	1.11700039216938	1.08221068447802	0.940927927436619
0.153172359536824	0.123831684965094	1.36385511951101	1.09452587190038	1.07397191029701	0.936950837046601
0.157690313544447	0.128862103565634	1.40601831586821	1.14260924099907	1.14669845232381	1.01621655542192
0.16330828012094	0.136804371451669	1.45946794473838	1.21909601117655	1.23776231788656	1.12376166077912
0.164820511788297	0.138507675434659	1.47483193070168	1.23582842155542	1.29517144449157	1.17603781117371
0.167234092791733	0.143148165206964	1.4968523394986	1.27990817105703	1.37742256647938	1.22588080234057
0.15488105620226	0.134058010381658	1.38417264438088	1.19456257679008	1.29827764716954	1.13731591856501
