WT_4 nuclear genes	atxr3_2 nuclear genes	WT_4 ATXR3-marked	atxr3_2 ATXR3-marked	WT_4 ATXR3-bound	atxr3_2 ATXR3-bound
1.20038223944623	1.16146647383325	1.05101025574867	1.09435551164666	2.18942004786139	1.99628648593812
1.20928048440303	1.17620203618004	1.06873681078958	1.10809433750075	2.25694739412867	2.08169753625434
1.21100484844052	1.17926923806866	1.09047389864518	1.12616984577898	2.16874575120168	2.05098086862771
1.21717065649059	1.19193375010298	1.09032350366463	1.10621390881476	1.98039107755995	1.93477217528691
1.27265525047539	1.23546321156589	1.10962419283531	1.12354264397846	2.18794617705199	2.07429278597411
1.31687663203214	1.29079982535678	1.29666541698023	1.30922822877	2.43366149627577	2.29902650711583
1.39912177630862	1.36780667328691	1.33800398396761	1.37102145468085	2.59360154492545	2.43885302486199
1.42271221714206	1.401221062026	1.37469033288995	1.41932777819794	2.64637013043468	2.48135611152519
1.45352480353708	1.43035652694936	1.41480568736885	1.47007236092031	2.73908362277819	2.55117489910065
1.49715165245495	1.47563712838655	1.43490848310246	1.49149485231428	2.81405050741671	2.59397489555638
1.62683984315974	1.59688117788162	1.43802667236588	1.50544061529649	2.95511097284125	2.68894104283202
1.70570975324834	1.68516954084559	1.36830355938256	1.46466500378979	2.90679407875632	2.65314991693316
1.78334891495903	1.76374247292361	1.42058085462199	1.51518465485116	2.81192492502492	2.59718691967551
1.84224494161342	1.82531487746044	1.55070259179448	1.63759246476921	2.89845217050178	2.67584102289518
1.94428846153403	1.92403231744942	1.66995578503917	1.75624841458173	3.3052705928915	2.96441034942967
2.02474781404649	2.0018965250859	1.82546419492863	1.89877411225993	3.38186174331996	3.00233382747485
2.12349507828476	2.1038721288269	1.90036089524289	1.98454505323375	3.54918117234867	3.20901003487122
2.20920979218628	2.1916161520462	1.97327238181388	2.05269034925134	3.64476219565467	3.2965894263995
2.30401032499524	2.28767981273745	2.23954168171293	2.25328440453418	3.75369829323358	3.45021775086483
2.33916343842355	2.34932112103944	2.31442835569515	2.3143308573305	3.72381982376417	3.50294173220403
2.36534700685535	2.38835608833565	2.2116785049829	2.21840200254577	3.5313042223272	3.3462633344155
2.32570418477219	2.36478115725979	2.23930104974405	2.22766018971267	3.43330685300035	3.25436525499594
2.31731820317767	2.35961042185514	2.32969845938707	2.26145392246182	3.42265888837736	3.22041856871731
2.29745620595963	2.34625195047182	2.35268883874726	2.28593548444543	3.4236815742451	3.24103130613166
2.23875104402695	2.28754102086765	2.3352229683393	2.26537673062972	3.37757047320825	3.20211812877807
2.08426469950827	2.14171112362804	2.27629821495953	2.20270177260773	3.18473402914611	3.04870573870731
1.9542562070866	2.01279119469541	2.27766179611652	2.21004354202288	3.11268480713027	3.01985150523379
1.8059981952682	1.8745692574677	2.22199560064868	2.16583097473605	3.01168956452444	2.94871011949163
1.70667833686481	1.77319803818101	2.08383274518274	2.04349514294952	2.86538532744469	2.81717908140328
1.5612569697035	1.6347408438123	1.936164926946	1.89768544302067	2.36825973240028	2.44162418292555
1.44239102810421	1.51319164907157	1.74447148473604	1.72660242166148	2.08961793876793	2.1837535294848
1.30427297885739	1.37343020486255	1.73504673262153	1.70419922822554	1.89674138937763	1.95095825761272
1.16653007751185	1.23919385827894	1.697217381847	1.68472914364908	1.76552678201314	1.83431769548279
0.994273569248085	1.07560253906301	1.43481824611413	1.48457595442181	1.4915572591099	1.57427870082997
0.860148322225468	0.936818543979597	1.34386938820909	1.39926387403644	1.29557254678823	1.36039568301505
0.730964716417148	0.805565730426931	1.32590220119929	1.38727051787174	1.21596347041671	1.27460674750835
0.654952292535707	0.723634231967672	1.29427914995549	1.37468334212199	1.10932340287421	1.17072430919054
0.584707493405603	0.655108453187834	1.20857406370565	1.3520912060908	0.994872822675102	1.09362673306501
