WT_4 nuclear genes	atxr3_2 nuclear genes	WT_4 ATXR3-marked	atxr3_2 ATXR3-marked	WT_4 ATXR3-bound	atxr3_2 ATXR3-bound
0.122517558402273	0.0933573927302323	0.266788086445127	0.251148791549402	0.668791601975665	0.483362843116508
0.120351346322513	0.0927451612451047	0.272616861183505	0.25620384246009	0.644612682297093	0.479432361103229
0.116635425657047	0.0914224412573341	0.2791078453246	0.260834446758976	0.580529187357951	0.453741169478754
0.115342582493931	0.0931610886233523	0.277856650806427	0.256381057294776	0.523294710661147	0.43109028134849
0.11298828100508	0.0936915264728465	0.279038976850362	0.256756492912729	0.546116186543472	0.439067411818893
0.112036347813378	0.0964825555010788	0.300912831255232	0.278217858801263	0.568419255993873	0.455133123311975
0.115981303942156	0.100722298425875	0.302383925144716	0.282131305340487	0.580865585308445	0.464653476816244
0.11137520581324	0.0988725248934769	0.304711889094485	0.286517213962305	0.585911812503017	0.476533915843071
0.112844418688335	0.0994525487831054	0.308801158826543	0.293328846016246	0.590010762925119	0.480660129531482
0.114075463054571	0.100612034921561	0.304099866169268	0.293641978408201	0.5927829577053	0.483319961522664
0.119812622042335	0.105175380217658	0.2591401888418	0.256009454278796	0.583448951074743	0.468451885756137
0.123528773201535	0.110175677540582	0.210607499151119	0.219870782331027	0.539450152645299	0.434110615060473
0.134682216859538	0.122099787741015	0.212480496944429	0.221200042443252	0.478245683065727	0.403644211416378
0.136941004693739	0.124461390239022	0.239009308747729	0.241983876153839	0.484087712456099	0.406504797404987
0.140461283564767	0.126361499290927	0.246659315320924	0.24828367112563	0.557109103716725	0.428691163791845
0.143092697503755	0.127949568714837	0.27030298758686	0.266189037719234	0.558455742507201	0.405072927352836
0.147038187660907	0.131836917737272	0.28463321701367	0.279073246483433	0.572139990768314	0.430967180315522
0.148683866103204	0.133611340076887	0.295252993296414	0.286785206001689	0.575440332909923	0.436130655469088
0.153490798439668	0.13719059447654	0.363079189800353	0.326300926932709	0.571150940193076	0.448862684992975
0.152756650967827	0.138633001533848	0.374070490490091	0.328481675888219	0.557048376725373	0.447799439043905
0.156929918265292	0.14143425154668	0.367127473186848	0.318345971185713	0.544012951033771	0.435745123362011
0.153638518989333	0.13838304980227	0.374395126333893	0.315998904126704	0.523414970570604	0.409316283781253
0.152907410469461	0.138060164030408	0.38709288042428	0.318104938400577	0.520181962508476	0.402672440834504
0.151666140401573	0.137394670306519	0.391141149957941	0.320071587375147	0.512213996451388	0.400181069973046
0.149842738378962	0.135499756986567	0.392098665217236	0.319855113010038	0.508092603769504	0.395672705331419
0.139556644484604	0.126457970468112	0.389929062649756	0.319207205326922	0.478083664258475	0.376488632592667
0.130962078588415	0.118332236365218	0.395343251627784	0.338499681088338	0.472390911828328	0.388479046381436
0.119325441609117	0.108927262208006	0.386907427387568	0.334905113255067	0.450983787926115	0.384949369620795
0.116505590856318	0.106031696421792	0.374776051159419	0.324045891119035	0.43808685234285	0.376296003416077
0.111699815938012	0.102531992101059	0.362078132063927	0.311834727928888	0.361762314288221	0.344616110766852
0.111905174677344	0.101278235294581	0.327848347359871	0.28195501253579	0.326852868492293	0.311018257267304
0.105396357507046	0.0947986769598125	0.329376403252956	0.28440033949927	0.31274265167155	0.287963460181278
0.0975634777754603	0.0878576384619878	0.319351333164907	0.281873145742054	0.308379664460736	0.284368175447457
0.0785093312547057	0.0733134894989928	0.261980629694506	0.257750122324911	0.266535514209813	0.260005976280834
0.072864513205041	0.0676706229971316	0.247449154573832	0.245927112208869	0.252284651406477	0.246709952148379
0.0657369824451754	0.0605006932742949	0.243160358387893	0.243289095164653	0.248521326816799	0.242784721002489
