ID	H3_WT	H3_atx45	H3_atx3-1	H3_atx3-145	K4me2_WT	K4me2_atx45	K4me2_atx3	K4me2_atx3-145	K4me3_WT	K4me3_atx45	K4me3_atx3	K4me3_atx3-145	
AT4G03230	35.4315	35.7185	33.1785	34.9453	26.495	29.6005	24.9211	31.492	20.2844	21.509	28.5999	26.302	
AT4G03240	11.3594	10.3318	9.18525	9.93783	17.6633	20.1097	17.2762	17.9363	29.6753	30.8274	25.7721	29.5252	
AT4G03250	22.2267	21.001	21.5467	23.0525	25.5263	25.7511	22.9346	27.5259	30.9632	34.6569	27.2503	30.5567	
AT4G03260	31.1666	30.405	30.4744	31.7685	30.9963	36.4364	30.2183	36.5237	50.1207	58.3359	47.9451	48.0913	
AT4G03270	14.5581	12.8199	14.7222	13.7663	48.6026	40.2195	50.7451	31.4328	27.0995	25.2108	24.0368	22.7564	
AT4G03280	15.1732	16.3622	13.2199	14.5402	19.2017	22.1672	21.0685	21.1328	42.286	46.5283	31.4921	39.0662	
AT4G03285	1.06623	1.30729	1.03012	0.896034	1.13957	1.19464	0.902937	1.24311	0.536624	1.5318	1.54247	1.09592	
AT4G03290	7.0535	6.83164	7.25377	7.4941	5.52691	5.17676	5.35743	4.55806	5.8492	3.12742	5.59145	4.31919	
AT4G03292	7.0535	7.00033	6.60995	6.39442	13.9597	10.0881	14.8082	8.82014	6.65414	5.68041	6.23415	7.22015	
AT4G04465	1.76337	1.39163	1.3735	1.50697	3.13381	4.18123	2.52822	3.31495	6.43949	7.53133	4.24179	6.38209	
AT4G03295	1.59934	0.759072	1.15889	1.14041	2.79194	3.31844	2.58842	3.37415	7.88837	7.7228	5.33437	7.8648	
AT4G04475	1.47631	1.05427	1.07304	1.38478	3.13381	2.65475	2.8894	3.01897	10.7325	11.8076	7.00538	10.6368	
AT4G04485	1.8864	1.89768	1.33057	1.66988	3.81756	3.58391	4.09332	3.90691	12.8253	14.9988	9.38335	13.2154	
AT4G03298	7.0535	6.7473	7.46838	6.76098	10.7689	6.76961	11.4974	5.62358	4.93694	3.44654	4.69168	3.80347	
AT4G03300	89.1119	89.4439	87.217	81.9057	40.1128	45.1971	38.104	40.9041	35.9001	33.508	48.9734	41.0646	
AT4G03305	8.73485	11.8078	8.71311	8.87888	4.55827	4.57944	4.45449	3.72932	4.72229	3.63801	5.33437	4.1258	
AT4G03310	35.0624	32.8088	33.0927	31.8499	21.7658	17.7205	16.6742	15.0357	15.2938	13.467	19.1523	15.8585	
AT4G03320	14.066	16.4044	13.2199	14.6216	29.116	27.3439	31.964	21.6064	12.879	11.6799	13.6251	15.3428	
AT4G03330	13.5329	13.6633	13.3916	13.7663	23.0193	15.0657	23.1152	10.892	7.35175	6.44631	11.1829	8.44499	
AT4G04505	4.46995	4.38575	4.12049	4.64309	11.2817	5.44224	11.076	3.72932	2.52213	2.10622	3.72763	3.22328	
AT4G03340	20.1763	17.7117	17.6408	18.0836	30.1986	27.0785	30.3387	23.2639	18.9428	18.2539	20.3734	17.857	
AT4G04515	5.49517	4.63877	5.75151	4.72454	15.2132	13.0746	15.9519	10.3	8.96162	7.27603	8.16223	6.05977	
AT4G04535	6.06929	7.42203	6.82456	6.10932	14.5295	7.89788	17.9384	4.85404	4.34665	3.31889	4.62741	4.31919	
AT4G04565	11.3184	11.4282	9.872	8.59378	12.8771	11.15	14.447	6.6299	4.66863	4.02096	4.62741	6.89782	
AT4G04585	4.38793	4.13272	4.16341	3.78778	6.38158	4.38034	6.07978	2.6046	1.93185	1.2765	2.82786	2.77202	
AT4G03350	8.65284	8.89801	9.35694	8.63451	8.43281	7.03509	7.82546	5.50519	4.45398	4.27626	5.84853	4.19026	
AT4G03360	13.3688	12.6934	13.1341	10.7931	10.8829	7.63241	10.7149	9.23451	5.68821	5.55276	7.45527	6.25316	
AT4G04595	6.6024	6.87381	5.36522	6.27224	6.89439	5.37587	8.36722	3.9661	4.13201	2.87212	3.92044	4.19026	
AT4G03364	7.42257	7.16901	6.9104	6.43515	14.4725	7.69878	16.6742	6.86668	4.40032	3.89331	5.33437	3.99687	
AT4G03370	9.59604	11.0065	11.0309	9.28617	13.9597	8.22973	10.6547	5.2684	5.79554	4.27626	6.81257	5.67297	
AT4G03376	2.50153	2.74109	1.63103	2.28081	6.6095	4.91129	5.89919	2.723	1.82452	1.40415	2.05663	1.35378	
AT4G04615	2.05043	2.06636	2.23193	2.36227	3.64662	3.25207	3.79234	1.71667	2.20016	2.29769	2.89213	2.38523	
AT4G03380	33.7912	32.2184	30.7749	31.6463	37.4918	25.7511	38.7661	24.9805	27.9045	16.8497	31.4921	20.1133	
AT4G03390	34.0372	34.1582	31.9767	35.8821	36.0673	40.4849	36.2379	40.4898	57.9017	52.5916	52.0583	59.6307	
AT4G04625	2.25548	2.19287	2.18901	2.24008	2.50705	2.65475	1.56509	1.83506	2.25382	2.04239	3.02067	1.80504	
AT4G03400	29.9364	33.0618	31.805	31.0354	62.1065	61.1256	69.5262	61.2674	82.5864	104.673	60.2206	92.766	
AT4G03410	17.9208	18.2177	15.924	17.1876	34.301	33.9808	35.034	35.8133	49.5304	51.379	35.8624	34.4246	
AT4G03405	1.27127	1.85551	1.80271	1.91425	3.53266	3.65028	3.19038	3.13736	2.30748	2.87212	2.12089	1.67611	
AT4G03415	23.1289	23.9529	21.8042	21.5048	26.2101	26.6802	25.4026	28.4731	33.9146	35.8695	30.1424	36.9388	
AT4G03420	17.0596	15.3079	15.924	16.6581	38.8593	22.8972	38.1641	20.8368	51.1939	26.9341	36.1195	31.1369	
AT4G03430	46.7499	50.1831	45.3254	46.5123	75.2685	101.345	83.1304	110.577	95.7874	115.97	73.4601	100.373	
