ID	H3_WT	H3_atx34	H3_atx3-1	H3_atx3-145	K4me2_WT	K4me2_atx45	K4me2_atx3-1	K4me2_atx3-145	K4me3_WT	K4me3_atx45	K4me3_atx3-1	K4me3_atx3-145	
AT1G01420	12.4273	12.4443	11.1683	11.4593	65.2341	47.1165	55.6295	28.8368	28.9627	38.9004	32.3934	21.1115
AT1G01430	12.6607	14.3475	14.2374	11.9614	52.9211	65.707	49.8964	67.5469	65.4175	84.3118	70.7219	52.3585
AT1G01440	24.3586	24.1565	22.5355	21.6191	27.6732	33.9546	29.472	36.5354	41.835	50.267	39.8235	32.77
AT1G01448	24.7962	25.4009	24.3827	24.2772	30.6582	41.8415	29.7855	25.5747	26.9514	30.6789	25.2805	17.5929
AT1G01450	14.586	14.2011	13.6691	14.1174	11.318	15.2104	10.5705	11.0476	7.79378	5.84885	6.52399	6.51199
AT1G01453	11.1729	12.0051	11.7935	10.78	50.3403	19.2051	44.7903	6.87213	8.39717	3.42103	7.02235	8.71767
AT1G01460	21.5873	23.5343	22.5355	20.674	34.8247	15.9786	30.8605	10.3517	12.3192	5.35225	8.97049	14.5995
AT1G01470	9.56842	9.4796	8.92327	8.68307	24.0663	12.9058	23.8284	10.6561	18.5542	15.5602	18.8924	10.8708
AT1G01480	17.474	16.2141	15.7152	14.3536	32.8969	10.8573	26.919	8.30744	11.1124	4.52458	8.15499	12.3938
AT1G01490	12.9815	12.5907	10.3158	10.7209	25.963	27.9114	24.0524	25.7487	57.8751	78.2422	70.3141	47.7371
AT1G01500	12.719	14.3841	13.6123	12.0795	49.5941	65.8607	45.059	88.2938	74.7197	121.171	88.4816	69.1637
AT1G01510	27.0133	27.3774	25.3773	26.1378	49.8739	71.7502	53.5692	104.474	79.3457	121.778	85.8086	66.5904
AT1G01520	15.0528	14.1645	12.1913	12.4635	65.2963	80.9687	53.3452	73.9841	12.1181	13.0772	11.9606	13.1815
AT1G01530	8.72243	10.0652	8.1844	8.38773	5.6901	4.45558	6.58417	2.60967	4.97796	1.82087	3.94158	5.40916
AT1G01540	19.6911	20.2768	18.898	15.6827	29.943	40.7148	28.0835	50.758	87.6926	130.496	105.924	78.0914
AT1G01550	13.0691	13.6887	11.9072	11.666	12.4685	19.666	14.1537	18.7896	44.5	74.3246	59.9392	41.8028
AT1G01560	15.4612	15.7383	14.408	12.936	45.1166	23.3534	40.5352	30.6636	14.0791	5.35225	10.4203	12.0262
AT1G01570	10.7645	10.1018	10.4578	10.2779	57.8649	63.1463	53.6588	21.9647	32.8344	35.2035	30.5359	16.4375
AT1G01580	28.8803	31.5865	28.3328	28.412	46.6091	21.4585	42.3716	12.9179	16.4424	7.2283	13.0027	19.7986
AT1G01590	28.3844	25.7304	27.7929	25.3109	42.6913	12.0864	39.5946	7.0461	13.4757	6.51099	9.96721	17.3828
AT1G01600	16.103	16.9462	14.9195	16.0962	88.492	71.3917	80.8913	20.6599	23.3311	20.0296	18.8924	12.2888
AT1G01610	23.7752	24.4859	22.9618	22.0621	75.0596	44.0437	63.6918	25.9227	27.4542	31.6169	30.7624	25.8379
AT1G01620	11.0562	12.0051	12.1345	9.80537	46.578	64.1194	47.4329	70.896	79.8485	123.323	95.6852	68.8486
AT1G01630	14.411	13.7253	13.3565	13.1723	58.0204	43.9413	50.7922	26.1402	19.4593	18.8157	25.8694	17.2253
AT1G01640	13.0107	14.2743	11.8503	11.1049	16.5417	12.0352	12.2277	7.0896	8.95028	6.34545	6.5693	9.29534
AT1G01650	38.5654	38.1746	35.8636	34.3188	28.3883	38.3078	32.1594	45.1038	57.2717	65.2754	63.3824	54.1966
AT1G01660	24.2711	22.4729	24.1269	24.2772	51.5841	22.1243	48.5527	11.0911	13.7271	5.68332	12.1419	14.2319
AT1G01670	27.48	25.8402	27.3098	26.1083	43.7796	31.5988	39.1915	17.9197	18.0011	13.4082	13.3198	18.4331
AT1G01680	16.5989	17.3488	17.1645	15.2987	28.7615	11.4206	27.0085	9.96023	9.55367	3.47621	8.42682	11.6586
AT1G01690	27.1883	26.133	24.4395	24.8678	66.2291	100.327	58.5857	109.824	41.4327	44.363	38.4191	32.1398
AT1G01695	13.7108	12.2247	12.1345	12.6997	23.3512	13.5716	17.8265	7.35056	7.7435	3.64174	5.88971	8.5076
AT1G01700	16.3363	17.3488	17.5055	17.248	47.2932	29.9599	46.2236	26.5316	14.2299	10.3734	13.048	12.8139
AT1G01710	22.5791	23.2781	23.7007	20.3491	36.4104	55.5155	37.4447	54.3681	44.1983	47.8392	35.1118	35.0807
AT1G01715	10.9978	11.639	9.97474	10.3961	24.626	24.8898	21.4993	14.1357	21.8226	23.5058	17.4426	13.3916
AT1G01720	12.2814	10.541	11.7651	11.3116	60.0726	90.1871	53.2109	100.516	91.0615	112.121	108.144	73.6275
AT1G01725	8.5474	6.58814	6.50774	6.97008	23.5378	18.5393	20.8275	15.3535	26.5994	13.4082	31.5779	10.3457
AT1G01730	10.5311	10.6508	9.40638	9.21469	32.1506	38.4102	31.6667	47.061	38.5666	48.3358	39.6876	28.2011
AT1G01740	20.7996	20.0572	19.0401	20.0833	43.5619	52.5963	35.9666	59.3265	26.0463	25.5474	25.6882	22.6344
AT1G01750	10.7061	8.74759	9.23587	8.86028	6.06323	6.19684	7.21124	6.13272	5.78248	3.42103	3.94158	8.35006
AT1G01760	18.7576	18.2638	17.5908	16.0076	38.0273	51.4697	36.6832	48.6703	31.8791	41.1627	27.727	19.7986
AT1G01770	34.6855	32.7943	31.7998	31.8675	61.2541	83.5294	55.8535	98.515	60.6909	82.4357	70.0423	50.9406
AT1G01780	9.8018	9.04039	9.88949	9.68724	13.2769	9.83301	11.9142	8.04648	9.4531	6.67652	12.0966	10.2931
AT1G01790	54.3766	52.1927	50.7831	50.5331	71.204	95.0012	62.8408	113.216	60.5904	64.8892	60.4828	54.2491
AT1G01800	12.3981	12.5907	11.083	10.6323	29.8497	41.3294	28.6658	42.7116	48.3214	71.2346	56.9037	42.3805
AT1G01810	5.45517	5.41692	5.25734	5.37523	25.0302	20.8439	19.8421	16.6584	13.3751	12.1391	10.375	9.55792
AT1G01820	16.3947	16.1043	15.3173	14.4127	19.1225	21.8682	17.5578	26.0967	34.6446	38.0727	34.5681	28.9364
AT1G01830	17.9116	17.239	16.7951	15.535	76.2412	103.042	74.4862	123.133	58.5288	78.4077	59.6673	40.5949
AT1G01840	7.35135	7.06395	6.30881	6.79288	21.9831	17.6687	23.067	13.2223	30.974	23.3402	32.8012	11.0284
AT1G01860	16.4238	16.6168	15.6015	14.7376	35.0734	42.8658	35.026	49.1053	45.4051	64.227	47.9332	37.549
AT1G01870	0.787644	1.02482	0.88096	0.767891	1.92779	2.45825	2.19472	1.08736	1.75989	2.64854	1.72161	1.94309
AT1G01880	20.2745	20.3134	19.2106	19.2859	77.2984	90.6993	61.2283	77.7681	28.5604	28.0304	27.4551	25.5753
AT1G01890	0.58344	0.878419	0.539943	0.649754	0.839524	1.02427	1.43329	1.00037	0.955367	0.662134	0.996721	1.78555
AT1G01900	28.2677	25.1081	26.173	26.6104	132.676	62.7366	111.841	16.7889	20.8169	12.2495	18.4846	18.2756
AT1G01910	20.7413	21.9971	19.8358	20.0242	22.3562	30.933	23.1566	37.7967	47.8186	68.6413	57.1755	45.0588
AT1G01920	25.438	26.499	26.0594	22.2393	44.246	63.8121	45.5517	62.6755	34.1921	40.9972	30.8983	31.142
AT1G01930	24.9712	25.1813	22.5639	20.3196	57.7095	83.4781	48.8662	96.0358	50.031	73.1107	62.431	46.0041
AT1G01940	15.7821	15.9213	12.7881	12.8474	33.6431	49.626	28.8897	42.1026	28.4599	27.2579	26.1413	20.6388
AT1G01950	39.6448	37.6622	38.3075	39.5168	41.6652	59.4078	42.0133	70.8525	56.2158	64.9443	54.729	53.3563
AT1G01960	62.6615	63.5756	60.4736	63.4691	98.8772	155.28	95.0002	196.508	122.186	162.444	139.541	116.901
AT1G01970	15.3445	16.1409	14.1522	13.5858	26.616	34.057	25.62	33.1863	27.4542	40.1143	32.4387	23.4222
AT1G01980	20.3329	19.7278	21.7114	19.5812	87.2483	39.7417	71.2166	9.78626	11.213	5.29707	9.60476	9.82051
AT1G01990	11.6688	13.5423	11.2536	12.2567	53.0144	87.2679	48.2391	105.605	63.909	95.6784	81.9123	54.8268
AT1G02000	18.6117	17.3488	17.3634	16.0076	71.9814	96.8961	70.3655	128.744	83.9214	120.067	102.481	63.0718
AT1G02010	38.5946	34.9903	34.3574	37.2427	39.3643	52.2379	38.9228	47.061	43.9469	49.7153	41.9982	33.7153
AT1G02020	21.4998	23.4611	21.4841	19.4335	74.0335	95.4621	64.498	120.523	96.3915	136.344	117.975	90.2751
AT1G02030	15.0236	14.3841	14.2943	14.265	54.6934	25.0434	48.3287	15.4405	16.0401	9.15953	14.1806	12.4988
AT1G02040	11.5521	12.5541	10.7989	10.2779	48.0083	10.9597	41.431	5.4803	7.14011	3.08996	5.16483	7.03715
AT1G02050	16.9781	17.0194	17.0508	16.8641	15.5467	13.8277	15.9901	13.8312	7.99491	4.08316	6.93174	9.45289
AT1G02060	20.1579	19.6912	18.6707	16.7755	55.2842	88.1898	55.2712	110.476	59.635	79.6217	56.1788	40.4899
AT1G02065	23.0459	21.7043	21.4556	21.3533	71.8881	19.8709	58.3617	17.3543	15.6881	7.83526	15.721	14.4419
AT1G02067	3.41313	3.18427	3.06915	3.1011	8.05321	1.79248	5.77795	2.04424	1.1565	0.882846	2.12936	2.20567
AT1G02070	9.2767	9.2966	8.24124	7.56077	15.2669	4.30194	16.7964	3.1316	4.22373	1.71051	3.85097	5.8818
AT1G02080	105.194	107.167	97.4171	96.5179	63.7416	86.3461	71.8884	104.387	103.33	106.88	110.908	111.964
AT1G02090	21.2081	19.9108	20.461	19.4631	40.5148	62.3781	39.0571	76.0718	58.1768	78.9595	70.8125	51.6758
AT1G02100	21.9374	22.2167	18.3865	18.577	28.2018	41.6879	29.6064	49.8012	47.9192	65.3858	54.5931	41.2251
AT1G02110	26.9841	25.6937	24.7521	26.699	71.857	87.5752	70.0968	80.8997	76.3288	106.548	82.5919	46.1616
AT1G02120	34.0146	33.0505	32.1692	30.9814	42.7535	58.3835	39.2811	64.8068	63.557	75.5385	69.0003	55.2994
