H4K16ac_ATX3	unbound
0.0384999252643811	0.00796177944035663
0.0388326143999412	0.0079472021665217
0.0391003429052888	0.00790442231204969
0.0394482106347958	0.00787329905401903
0.0394511356410082	0.00784043930788862
0.039519935895726	0.00778161356651354
0.0396085619464684	0.00772931895648986
0.0394798795940056	0.00766498249108206
0.0394280929185434	0.00762399030276644
0.0393192911388486	0.00756658773251591
0.039013987549643	0.00752247393315316
0.0388651762590415	0.0074585053625147
0.038604469284194	0.00737397293180639
0.0383296950899228	0.00730976074092302
0.0381718676590883	0.00724483959344495
0.0377853721319188	0.00717782855948103
0.0373671289307964	0.00709525853743075
0.0370164381991625	0.00702347939718746
0.0364422081416321	0.00698527745275995
0.0359226044033428	0.00686965141058861
0.0353805244280453	0.00676827590372219
0.0347901840361697	0.00667896890056614
0.0342013735373635	0.0066013324477231
0.0335376226930124	0.00650751920638726
0.0328438059826984	0.00639565233456604
0.0322159984644234	0.00628957670763541
0.0315096583090173	0.00620807199353207
0.0308010094060521	0.0061294796102557
0.0300135316783509	0.00605423974778744
0.0289906163235098	0.00597820770978373
0.0281842156811435	0.00590506809340158
0.0273725022409096	0.00585109143931538
0.0265477525525904	0.00582280561079302
0.0257096499260272	0.00581470350098612
0.0250993160289582	0.00582204294181014
0.0244476753995281	0.00584787282354234
0.0240095876713004	0.00589517580564807
0.0236277238552778	0.00596235759142145
0.0234533737498745	0.0060695571323325
0.023424172119856	0.00621781260673691
0.0236309248550985	0.00639447338029905
0.0240582947696943	0.00661385054333915
0.0247518510012356	0.00685463132612618
0.0253379065593832	0.00712096199305684
0.0260944844950326	0.00740532053456881
0.0268070898190058	0.00771555072590484
0.0275109539852885	0.00802913973718896
0.027996070327092	0.00833529542668009
0.0284417561041094	0.00861744552324817
0.0288629845844566	0.00890331182183124
0.0292637227522742	0.00921725847931964
0.0294935380319794	0.00952127223444897
0.0296380804401374	0.00980430514602289
0.0299150879275659	0.0101082620904111
0.030261100600395	0.0104275526872835
0.0306175862111859	0.0107600102677042
0.03091235818532	0.011056985676551
0.030952625224908	0.0113649177205851
0.0314748682848806	0.011655427818523
0.0318706556357148	0.0119460508027366
0.032171985643697	0.0122292746485648
0.0324017502475021	0.0124815989275945
0.032698252088862	0.0127170705383504
0.0329406189361577	0.0129469057950208
0.033179740795848	0.0131890348804572
0.033548180949194	0.0133972552929932
0.0338972839661144	0.0136066207435169
0.0342311784868251	0.013802454570812
0.0346608501463551	0.0139771978861388
0.0349159146291434	0.0141293195568113
0.0350117271832003	0.0142559705970766
0.0352434475435522	0.0143876820983363
0.0354604488878092	0.0144974403388797
0.0354578518555636	0.0145805717579368
0.0354873721904816	0.014651576676529
0.0356624415046539	0.0146925283919202
0.0356978245177854	0.0147350905842019
0.0358325240369636	0.0147583004545185
0.0359612708293512	0.0147829188296206
0.0360931232820488	0.0147844924931356
0.0359988469842576	0.0147588236761221
0.0360646973243346	0.0147266704622647
0.0362884635086457	0.0146781918938928
0.0362390524593403	0.0146072456515833
0.0361189144732487	0.0145119256982805
0.035845234884586	0.0144042611518759
0.035637232673122	0.0142718678038741
0.0353546650513259	0.0141416651589376
0.0350449776137811	0.0140032011363485
0.0348213146127073	0.0138644451820459
0.0343917748812759	0.0137332265085474
0.0340241889627673	0.013593395546346
0.0337135607053092	0.0134435251859356
0.0332830505181091	0.0132863048671614
0.0328911390579184	0.0131275625483791
0.0325244884912025	0.0129688782260015
0.032002826494546	0.0127847248921682
0.0313829671890192	0.0126057917988646
0.0308519192368525	0.0124157857411557
0.0304277025080172	0.012243627614013
0.0301033158401244	0.012056558097231
