H4K16ac_ATX4	unbound
1.95315159684367	1.3354253073868
1.95106634451159	1.33152678670737
1.95234356156499	1.32680528142698
1.95502832394255	1.32251002315108
1.94853797605894	1.31782458492492
1.94533190059837	1.31349981724101
1.94061401719704	1.30931931777401
1.93821597701514	1.30445354427672
1.93050054338644	1.29946973314743
1.92836315974606	1.29417115499944
1.9216382209751	1.2892037379857
1.91181146936017	1.28465273150711
1.9023757025575	1.27736390773052
1.89054189557294	1.27207516605187
1.88342597198971	1.26645526323897
1.8740684021495	1.25950087941973
1.86254738301475	1.25404819658551
1.85131308607567	1.2479364703059
1.83593435012657	1.24388056611713
1.82115512422295	1.23854919973803
1.80955590812575	1.23340800509939
1.79832161118666	1.22887995038258
1.78322959743322	1.22529291789873
1.77269907315621	1.22192556656335
1.7595619834641	1.21835492819506
1.74853621175822	1.21654501783757
1.74261930826594	1.21509905684546
1.73670240477366	1.21528267093969
1.73586830384083	1.21573842735218
1.73383518281705	1.21849591758884
1.7325319001095	1.22388958160706
1.7363635512697	1.23077511014095
1.74126389425009	1.24188048401919
1.75348868604692	1.25509741998115
1.76941480073319	1.27191778254252
1.79089289975362	1.29277765517711
1.82277119478031	1.3182803413374
1.86650936244571	1.35054723957647
1.91102949973564	1.38520767868684
1.96407310593295	1.42581918174437
2.02548378711273	1.46817501869714
2.09395826056744	1.51610485493926
2.17457932885653	1.56808403772393
2.25989221489279	1.62543393276504
2.34236394462659	1.68409207822759
2.43187340098117	1.74618315148775
2.52904615965614	1.81294326885851
2.63682763957058	1.88154280599475
2.73668516062311	1.94808979986327
2.84769878165227	2.01700410401821
2.95707026646992	2.0864233469323
3.06930897324418	2.15517043110855
3.17914963983655	2.22142888854327
3.29795689145686	2.29071697853291
3.41514807251982	2.36091330252439
3.53127056176258	2.4316637476217
3.63946909214343	2.49792220505642
3.73937874450426	2.56056412059929
3.83358001860602	2.62076003410107
3.93192573171779	2.6766180646265
4.02242568293011	2.73034158130643
4.09973641314201	2.77819600461699
4.17076532070352	2.82175516965164
4.24570407638768	2.86611764634858
4.31204116620201	2.90870627974226
4.38437335647107	2.94831446292771
4.45060618366879	2.98673571214683
4.5125381779316	3.02163878416744
4.56060324418606	3.05286957430332
4.60121353335334	3.07916245683345
4.64143283770835	3.10300605849939
4.68014033412261	3.12420037109134
4.7147815884893	3.14178469943766
4.73646821274295	3.15187035932825
4.74733759052392	3.16131664871213
4.75990123582471	3.16539222583958
4.76761666945341	3.1660906151623
4.77246488112549	3.16428398362793
4.76407174048887	3.15970018891822
4.74963136808921	3.14919156084626
4.72661539547386	3.13649267893589
4.699194327307	3.12117401735954
4.66807193625069	3.1024027550469
4.63061559123568	3.0807330131038
4.59709515999748	3.05519098106617
4.54887369981811	3.02417987207876
4.49254582119777	2.99184411855436
4.43066595824327	2.95930507799704
4.3761626754135	2.92696276682641
4.32186791781694	2.89373517341571
4.25745968640979	2.86043544589656
4.20293033792587	2.82652585727869
4.13776620254834	2.79167852525097
4.07906634940026	2.75485406288709
4.024823723112	2.71902636274906
3.96237041576617	2.68131661814511
3.8921234778292	2.64107234327606
3.82604704455638	2.60208385765867
3.76513161080546	2.56222648391676
3.69887271795359	2.5238806476292
3.63511612790021	2.48619057596391
