K36me3_ATXR7	unbound
0.0204911723535314	0.00781323286704545
0.020281829535729	0.00778432553104644
0.0201247122779831	0.00776398439220423
0.0200169504744824	0.00776117432161083
0.0197936068680856	0.00775128964792847
0.0195131767146656	0.00775663406722083
0.0194030562301008	0.00772144351234436
0.0192151693095245	0.00766686920974735
0.0190994418385806	0.00763154034002521
0.0189646219607527	0.0075769611283621
0.0186935326100055	0.00752488113049558
0.0184765330050904	0.00746408384689634
0.0181856013976913	0.00740167529175431
0.0179559135365977	0.00733521196413918
0.017635701002408	0.00725943808194056
0.0174066814435018	0.00718699314420903
0.0171519070606363	0.00708052693963536
0.0168469232319766	0.00698249568575393
0.0164916172486542	0.00684218534005894
0.0162828218514305	0.00668756343934256
0.0160462221592014	0.00653445568270949
0.0156290816293092	0.00639570083389975
0.0152966325561208	0.00624247759189028
0.0149237169415579	0.00611168719825768
0.0144746615102617	0.00597522337290946
0.0140707705398414	0.00585990478842493
0.0137478731436547	0.00572814524569618
0.0134518240655438	0.00560894029292207
0.0130154692511979	0.00547681041686373
0.012634351360496	0.00536576870080899
0.0122606466039299	0.00524579390173258
0.0119007043048683	0.005125742650725
0.0115311760821206	0.00499419632605824
0.0111565272846922	0.0048912871868793
0.0106891679588572	0.00479034532819596
0.0102762846220699	0.00468600953836536
0.0100398919621292	0.00458926075169852
0.009679794950894	0.00450182073863733
0.00943671871023265	0.00440794806410516
0.00925383370368952	0.00433813583237387
0.00902297360177033	0.00426174766931467
0.00883908947490705	0.00419090874618388
0.00868129847206473	0.00412788268818125
0.00861105825645117	0.00407446758715831
0.00851631850364145	0.00402035077167008
0.00836407447890341	0.00398119628092341
0.00832565516303586	0.00394639188736377
0.00830094021408927	0.0039186842562092
0.008280309780629	0.00389315769347964
0.00827049341879865	0.00387698832821765
0.00826087034992663	0.00388162014539577
0.00825326532797863	0.0038813522321477
0.00839644544727147	0.00389145083225931
0.00848157921086326	0.00390240492698571
0.00861374142053645	0.00391853231068605
0.0087285504846459	0.00394288696415978
0.00889011153349126	0.0039792918495099
0.00895163732360009	0.00402079909974545
0.00916921860515221	0.00407222888451803
0.00936836732735098	0.00412424831230544
0.0095964373713915	0.00417953237589931
0.00983385541363062	0.00425162843586499
0.0100149365148718	0.00433217592073648
0.010277688966589	0.00441730584350797
0.0106217903925459	0.0045050786306578
0.0109226001727016	0.00459767564274799
0.0112574484695924	0.00469807487515722
0.0116383006703474	0.0048107136636722
0.0120114168377659	0.00492695850221984
0.012418350650289	0.00504953869161724
0.0129403571181365	0.00517250426340049
0.0133734417090639	0.00529877655596487
0.0137500056419386	0.0054419888505252
0.0142148362475445	0.00558428693681876
0.0146743620766615	0.00572579504816236
0.015150511448417	0.00587457437699492
0.0156788611848151	0.00601199656554455
0.0161832034307541	0.00614932984920349
0.0167925144031747	0.00629207694923349
0.0172969337514903	0.00644359804920451
0.0178876139104072	0.00659092368950734
0.0184079556445395	0.00674906502320876
0.0188031934384607	0.00688663681706541
0.0193003009541437	0.00702722980265891
0.0197740506719367	0.00716144821460206
0.0202505343708262	0.0073024740817519
0.0206929644227369	0.0074259078189778
0.0212041835994301	0.00755724776066736
0.0216616280820338	0.00766703902066049
0.0221615511181529	0.00778917951550046
0.0226318316610496	0.00790405611663453
0.0230785519989835	0.00801804911554255
0.0234913544424707	0.00814425776803343
0.0237434776237404	0.00826244202926877
0.0241693944159648	0.00837105691624976
0.024562251518796	0.0084750363733448
0.024841542238477	0.00857740820528195
0.025309818434697	0.00867485656084178
0.0255896604986275	0.00877188351447053
0.0258676878102503	0.00886990318614202
0.0260225016674375	0.00895099170453475
