K36me3_ATX4	unbound
1.309306699409	0.751267564361762
1.29598542498649	0.743638895761707
1.28557375595733	0.735671922615333
1.27413979314131	0.728850436792462
1.26269010272858	0.721482915561496
1.24746578910286	0.713848311793962
1.23217856509025	0.706696434981411
1.22044577793654	0.699473336159108
1.205661837019	0.691615174416521
1.19081498571457	0.683685790664182
1.17342026374138	0.675776190803441
1.15921824390251	0.667737995647315
1.14550377956198	0.659966883027757
1.13127030452966	0.652567707570235
1.11505515231053	0.644539404359908
1.09655949856688	0.636637718055806
1.07900750062648	0.628722183027585
1.05955246348286	0.621192433885519
1.04050634385399	0.614810150456116
1.020846847953	0.607064756895635
1.00115589685857	0.599121524419178
0.983902723255866	0.59177576546897
0.963944403017184	0.585320281640656
0.944882555791587	0.579484033619348
0.927865296139693	0.573329264943319
0.908740538527213	0.567198236937207
0.890323522767169	0.562505497850243
0.874234191321801	0.558008619290097
0.858192042666596	0.553883677891987
0.844682037083438	0.551301880038493
0.833232346670703	0.549454064563272
0.8240002473956	0.54904849478552
0.82041435534326	0.550284988010374
0.816922828871244	0.551602595190777
0.816262269808971	0.554835283077834
0.820839000454721	0.560804083172845
0.826107745356185	0.567795710463456
0.840215399614734	0.576557996052056
0.856147455092893	0.587536077499593
0.871639137862871	0.601111783913902
0.898549055852142	0.617926113382746
0.927440651028232	0.636044201307876
0.962812016053287	0.658633448734075
1.00678637648461	0.684405924318337
1.05653276491247	0.714095610438933
1.1113277118877	0.747548192741403
1.17694324540684	0.784933812693486
1.25051694286669	0.828397044144368
1.33082205172304	0.876345283820438
1.4180158479431	0.927369918639942
1.5173513488316	0.983281174684067
1.62203423260518	1.04263284947702
1.72995700130323	1.106182666067
1.84675013455182	1.17349933561717
1.97389202644268	1.24460857718661
2.09867477882542	1.31672086206006
2.23232789575869	1.38826930602296
2.36780541391157	1.4595605593951
2.49228934195662	1.52957179498087
2.62084671755235	1.59759672785024
2.74548792156461	1.66286180784174
2.85861652477724	1.72707834157856
2.96413297117702	1.78630933463277
3.06793510953423	1.84163103070728
3.16903210125547	1.89621874440352
3.25328483688873	1.94567055984101
3.34123355775139	1.99281359512906
3.42339452302079	2.03738274612025
3.49860389053961	2.07831166105747
3.56467552436364	2.11307195859455
3.62477067143378	2.14593893770573
3.67299148297972	2.1773656495086
3.71765785766676	2.20548053785802
3.7582350572064	2.23079600554638
3.79291440797574	2.25311223526853
3.81949404643387	2.27247868675347
3.84763071696737	2.28891118711448
3.87584602548446	2.30185380899766
3.89597734928707	2.31436712043318
3.90909416495221	2.324308525961
3.92200652185998	2.33312224966775
3.92699217002047	2.33928493190042
3.93182054221375	2.34353649020476
3.92834474333846	2.34624292657531
3.93100270718427	2.34958442586616
3.93372358141697	2.35237791135975
3.93477733039726	2.35362825330872
3.9271651735844	2.35498542827232
3.92570250708937	2.35479352452382
3.91702087369949	2.35450863648481
3.91274296739144	2.35493992532164
3.90698666699163	2.3530782611223
3.89784893329685	2.3526311451722
3.88622623932018	2.35120670497717
3.88210560897934	2.34877922147813
3.87749742314015	2.34549509547292
3.87587748067791	2.34430410519874
3.86790358914046	2.34153633876423
3.86283930299637	2.3382779318181
3.84852718998045	2.3347425503896
3.837061771971	2.33198071912257
